,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
3849,3849,LP 791-18 b,86,1.46 Earths,16.9,2019,Super Earth,1.12 x Earth,0.00969 AU,0.9 days,0,LP 791-18,Transit,87.3,11h02m45.96s,-16d24m22.29s
3850,3850,LP 791-18 c,86,5.95 Earths,16.9,2019,Neptune-like,0.206 x Jupiter,0.029392 AU,5 days,0,LP 791-18,Transit,89.55,11h02m45.96s,-16d24m22.29s
3851,3851,LSPM J2116+0234 b,58,13.3 Earths,10.86,2019,Neptune-like,0.331 x Jupiter,0.0876 AU,14.4 days,0.18,LSPM J2116+0234,Radial Velocity,,21h16m27.28s,+02d34m51.39s
3852,3852,LTT 1445 A b,22,2.2 Earths,11.22,2019,Super Earth,1.38 x Earth,0.03807 AU,5.4 days,0.19,LTT 1445 A,Transit,89.4,03h01m51.39s,-16d35m36.1s
3853,3853,LTT 3780 b,72,2.62 Earths,13.07,2020,Super Earth,1.332 x Earth,0.01211 AU,0.8 days,0,LTT 3780,Transit,87.1,10h18m34.78s,-11d43m04.08s
3854,3854,LTT 3780 c,72,8.6 Earths,13.07,2020,Super Earth,0.205 x Jupiter,0.07673 AU,12.3 days,0.06,LTT 3780,Transit,89.18,10h18m34.78s,-11d43m04.08s
3981,3981,Pi Mensae c,60,4.82 Earths,5.67,2018,Neptune-like,2.042 x Earth,0.06839 AU,6.3 days,0,HD 39091,Transit,87.456,05h37m09.89s,-80d28m08.8s
3986,3986,Proxima Centauri b,4,1.27 Earths,11.11,2016,Super Earth,1.08 x Earth,0.0485 AU,11.2 days,< 0.35,Proxima Cen,Radial Velocity,,14h29m42.95s,-62d40m46.1s
3987,3987,Psi 1 Draconis B b,72,1.53 Jupiters,5.699,2015,Gas Giant,1.21 x Jupiter,4.43 AU,8.5 years,0.4,psi 1 Dra B,Radial Velocity,,17h41m58.10s,+72d09m24.9s
4005,4005,Rho Coronae Borealis b,57,1.0449 Jupiters,5.41,1997,Gas Giant,1.23 x Jupiter,0.2196 AU,39.8 days,0.04,rho CrB,Radial Velocity,,16h01m02.66s,+33d18m12.6s
4006,4006,Rho Coronae Borealis c,57,25 Earths,5.41,2016,Neptune-like,0.48 x Jupiter,0.4123 AU,102.5 days,0.05,rho CrB,Radial Velocity,,16h01m02.66s,+33d18m12.6s
4007,4007,Ross 128 b,11,1.4 Earths,11.15,2017,Super Earth,1.11 x Earth,0.0496 AU,9.9 days,0.12,Ross 128,Radial Velocity,,11h47m44.40s,+00d48m16.4s
4008,4008,Ross 458 c,38,6 Jupiters,9.72,2010,Gas Giant,1.25 x Jupiter,1100.0 AU,52148.2 years,0,Ross 458,Imaging,,13h00m46.58s,+12d22m32.6s
4011,4011,RR Caeli b,69,4.2 Jupiters,13.658,2012,Gas Giant,1.16 x Jupiter,5.3 AU,11.9 years,0,RR Cae,Eclipse Timing Variations,17.6,04h21m05.56s,-48d39m07.1s
4016,4016,Tau Bootis b,51,5.95 Jupiters,4.5,1996,Gas Giant,1.14 x Jupiter,0.049 AU,3.3 days,0.01,tau Boo,Radial Velocity,,13h47m15.74s,+17d27m24.9s
