,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
583,583,HD 164922 c,72,13 Earths,6.99,2016,Neptune-like,0.327 x Jupiter,0.341 AU,75.7 days,0.12,HD 164922,Radial Velocity,,18h02m30.86s,+26d18m46.8s
584,584,HD 164922 d,72,4 Earths,6.99,2020,Super Earth,1.83 x Earth,0.103 AU,12.5 days,0.12,HD 164922,Radial Velocity,,18h02m30.86s,+26d18m46.8s
605,605,HD 176986 b,91,5.74 Earths,8.42,2017,Neptune-like,0.202 x Jupiter,0.06296 AU,6.5 days,0.07,HD 176986,Radial Velocity,,19h03m05.87s,-11d02m38.1s
606,606,HD 176986 c,91,9.18 Earths,8.42,2017,Neptune-like,0.266 x Jupiter,0.11878 AU,16.8 days,0.11,HD 176986,Radial Velocity,,19h03m05.87s,-11d02m38.1s
607,607,HD 177565 b,55,15.1 Earths,6.16,2017,Neptune-like,0.357 x Jupiter,0.246 AU,44.5 days,0.06,HD 177565,Radial Velocity,,19h06m52.46s,-37d48m38.4s
612,612,HD 179949 b,90,0.916 Jupiters,6.25,2000,Gas Giant,1.24 x Jupiter,0.0443 AU,3.1 days,0.02,HD 179949,Radial Velocity,,19h15m33.23s,-24d10m45.7s
616,616,HD 180617 b,19,12.2 Earths,9.12,2018,Neptune-like,0.315 x Jupiter,0.3357 AU,105.9 days,0.16,HD 180617,Radial Velocity,,19h16m55.25s,+05d10m08.1s
620,620,HD 181433 b,88,6.3566 Earths,8.4,2008,Neptune-like,0.214 x Jupiter,0.08 AU,9.4 days,0.4,HD 181433,Radial Velocity,,19h25m09.57s,-66d28m07.7s
621,621,HD 181433 c,88,0.64 Jupiters,8.4,2008,Gas Giant,1.26 x Jupiter,1.76 AU,2.6 years,0.28,HD 181433,Radial Velocity,,19h25m09.57s,-66d28m07.7s
622,622,HD 181433 d,88,0.54 Jupiters,8.4,2008,Gas Giant,1.27 x Jupiter,3.0 AU,6 years,0.48,HD 181433,Radial Velocity,,19h25m09.57s,-66d28m07.7s
632,632,HD 189733 b,65,1.13 Jupiters,7.67,2005,Gas Giant,1.13 x Jupiter,0.0313 AU,2.2 days,0,HD 189733,Radial Velocity,85.71,20h00m43.71s,+22d42m39.1s
633,633,HD 190360 b,52,1.54 Jupiters,5.73,2003,Gas Giant,1.21 x Jupiter,3.97 AU,8 years,0.31,HD 190360,Radial Velocity,,20h03m37.40s,+29d53m48.5s
634,634,HD 190360 c,52,19.069 Earths,5.73,2005,Neptune-like,0.409 x Jupiter,0.1304 AU,17.1 days,0.24,HD 190360,Radial Velocity,,20h03m37.40s,+29d53m48.5s
641,641,HD 192263 b,64,0.56 Jupiters,7.79,1999,Gas Giant,1.26 x Jupiter,0.15 AU,24.4 days,0.05,HD 192263,Radial Velocity,,20h13m59.85s,-00d52m00.8s
642,642,HD 192310 b,29,16.9 Earths,5.73,2011,Neptune-like,0.381 x Jupiter,0.32 AU,74.7 days,0.13,HD 192310,Radial Velocity,90,20h15m17.39s,-27d01m58.7s
643,643,HD 192310 c,29,24 Earths,5.73,2011,Neptune-like,0.469 x Jupiter,1.18 AU,1.4 years,0.32,HD 192310,Radial Velocity,90,20h15m17.39s,-27d01m58.7s
650,650,HD 19994 b,74,1.37 Jupiters,5.06,2003,Gas Giant,1.21 x Jupiter,1.305 AU,466.2 days,0.06,HD 19994,Radial Velocity,,03h12m46.44s,-01d11m46.0s
664,664,HD 204941 b,94,0.23 Jupiters,8.45,2011,Gas Giant,0.903 x Jupiter,2.55 AU,4.7 years,0.37,HD 204941,Radial Velocity,,21h32m23.51s,-20d57m26.7s
675,675,HD 20794 b,20,2.7 Earths,4.27,2011,Super Earth,1.45 x Earth,0.1207 AU,18.3 days,0,HD 20794,Radial Velocity,90,03h19m55.65s,-43d04m11.2s
676,676,HD 20794 c,20,2.4 Earths,4.27,2011,Super Earth,1.35 x Earth,0.2036 AU,40.1 days,0,HD 20794,Radial Velocity,90,03h19m55.65s,-43d04m11.2s
677,677,HD 20794 d,20,4.8 Earths,4.27,2011,Super Earth,2.04 x Earth,0.3499 AU,90.3 days,0,HD 20794,Radial Velocity,90,03h19m55.65s,-43d04m11.2s
678,678,HD 20794 e,20,4.77 Earths,4.27,2017,Super Earth,2.03 x Earth,0.509 AU,147 days,0.29,HD 20794,Radial Velocity,,03h19m55.65s,-43d04m11.2s
685,685,HD 210277 b,70,1.29 Jupiters,6.53,1998,Gas Giant,1.22 x Jupiter,1.13 AU,442.2 days,0.48,HD 210277,Radial Velocity,,22h09m29.87s,-07d32m55.2s
688,688,HD 211970 b,42,13 Earths,8.99,2019,Neptune-like,0.327 x Jupiter,0.143 AU,25.2 days,0.15,HD 211970,Radial Velocity,,22h22m16.21s,-54d33m38.2s
694,694,HD 21411 b,95,0.20734 Jupiters,7.885,2019,Gas Giant,0.85 x Jupiter,0.362 AU,84.3 days,0.4,HD 21411,Radial Velocity,,03h26m11.12s,-30d37m04.1s
696,696,HD 215152 b,70,1.819 Earths,8.11,2018,Super Earth,1.19 x Earth,0.057638 AU,5.8 days,0,HD 215152,Radial Velocity,,22h43m21.30s,-06d24m03.0s
697,697,HD 215152 c,70,1.72 Earths,8.11,2018,Super Earth,1.17 x Earth,0.067393 AU,7.3 days,0,HD 215152,Radial Velocity,,22h43m21.30s,-06d24m03.0s
698,698,HD 215152 d,70,2.801 Earths,8.11,2018,Super Earth,1.48 x Earth,0.08799 AU,10.9 days,0,HD 215152,Radial Velocity,,22h43m21.30s,-06d24m03.0s
699,699,HD 215152 e,70,2.877 Earths,8.11,2018,Super Earth,1.51 x Earth,0.15417 AU,25.2 days,0,HD 215152,Radial Velocity,,22h43m21.30s,-06d24m03.0s
703,703,HD 216437 b,87,2.223 Jupiters,6.057,2002,Gas Giant,1.19 x Jupiter,2.497 AU,3.7 years,0.32,HD 216437,Radial Velocity,,22h54m39.48s,-70d04m25.3s
708,708,HD 217107 b,65,1.3 Jupiters,6.16,1998,Gas Giant,1.22 x Jupiter,0.08 AU,7.1 days,0.13,HD 217107,Radial Velocity,,22h58m15.54s,-02d23m43.4s
709,709,HD 217107 c,65,2.6 Jupiters,6.16,2005,Gas Giant,1.18 x Jupiter,5.32 AU,11.7 years,0.52,HD 217107,Radial Velocity,,22h58m15.54s,-02d23m43.4s
710,710,HD 21749 c,53,3.7 Earths,7.87,2019,Super Earth,0.892 x Earth,0.0695 AU,7.8 days,0,GJ 143,Transit,88.9,03h26m59.22s,-63d29m56.8s
713,713,HD 218566 b,94,0.2 Jupiters,8.628,2010,Gas Giant,0.832 x Jupiter,0.69 AU,225.7 days,0.3,HD 218566,Radial Velocity,,23h09m10.73s,-02d15m38.7s
714,714,HD 219077 b,95,10.39 Jupiters,6.12,2012,Gas Giant,1.11 x Jupiter,6.22 AU,15.1 years,0.77,HD 219077,Radial Velocity,,23h14m06.58s,-62d42m00.0s
715,715,HD 219134 b,21,4.74 Earths,5.57,2015,Super Earth,1.602 x Earth,0.03876 AU,3.1 days,0,HD 219134,Radial Velocity,85.05,23h13m16.98s,+57d10m06.1s
716,716,HD 219134 c,21,4.36 Earths,5.57,2015,Super Earth,1.511 x Earth,0.0653 AU,6.8 days,0.06,HD 219134,Radial Velocity,87.28,23h13m16.98s,+57d10m06.1s
717,717,HD 219134 d,21,16.17 Earths,5.57,2015,Super Earth,1.61 x Earth,0.237 AU,46.9 days,0.14,HD 219134,Radial Velocity,,23h13m16.98s,+57d10m06.1s
718,718,HD 219134 f,21,7.3 Earths,5.57,2015,Super Earth,1.31 x Earth,0.1463 AU,22.7 days,0.15,HD 219134,Radial Velocity,,23h13m16.98s,+57d10m06.1s
719,719,HD 219134 g,21,10.80622 Earths,5.57,2015,Neptune-like,0.293 x Jupiter,0.3753 AU,94.2 days,0,HD 219134,Radial Velocity,,23h13m16.98s,+57d10m06.1s
720,720,HD 219134 h,21,0.34 Jupiters,5.57,2015,Gas Giant,1.14 x Jupiter,3.11 AU,6.2 years,0.06,HD 219134,Radial Velocity,,23h13m16.98s,+57d10m06.1s
758,758,HD 26965 b,16,8.47 Earths,4.43,2018,Neptune-like,0.254 x Jupiter,Unknown,42.4 days,0.04,HD 26965,Radial Velocity,,04h15m16.32s,-07d39m10.3s
759,759,HD 27442 b,60,1.56 Jupiters,4.44,2000,Gas Giant,1.21 x Jupiter,1.271 AU,428.1 days,0.06,HD 27442,Radial Velocity,,04h16m29.03s,-59d18m07.8s
767,767,HD 285968 b,31,8.4 Earths,10.038,2008,Neptune-like,0.253 x Jupiter,0.066 AU,8.8 days,0,HD 285968,Radial Velocity,,04h42m55.78s,+18d57m29.4s
774,774,HD 30562 b,85,1.22 Jupiters,5.78,2009,Gas Giant,1.22 x Jupiter,2.34 AU,3.2 years,0.76,HD 30562,Radial Velocity,,04h48m36.38s,-05d40m26.6s
791,791,HD 33564 b,68,9.1 Jupiters,5.08,2005,Gas Giant,1.12 x Jupiter,1.1 AU,388 days,0.34,HD 33564,Radial Velocity,,05h22m33.53s,+79d13m52.1s
801,801,HD 3651 b,36,0.228 Jupiters,5.86,2003,Gas Giant,0.899 x Jupiter,0.295 AU,62.3 days,0.65,HD 3651,Radial Velocity,,00h39m21.81s,+21d15m01.7s
811,811,HD 39091 b,60,12.9 Jupiters,5.67,2001,Gas Giant,1.1 x Jupiter,3.1 AU,5.7 years,0.64,HD 39091,Radial Velocity,,05h37m09.89s,-80d28m08.8s
812,812,HD 39855 b,76,8.5 Earths,7.47,2019,Neptune-like,0.254 x Jupiter,0.041 AU,3.2 days,0.14,HD 39855,Radial Velocity,,05h54m30.16s,-19d42m15.6s
813,813,HD 40307 b,42,4 Earths,7.17,2009,Super Earth,1.83 x Earth,0.0468 AU,4.3 days,0.2,HD 40307,Radial Velocity,,05h54m04.24s,-60d01m24.5s
814,814,HD 40307 c,42,6.6 Earths,7.17,2009,Neptune-like,0.219 x Jupiter,0.0799 AU,9.6 days,0.06,HD 40307,Radial Velocity,,05h54m04.24s,-60d01m24.5s
815,815,HD 40307 d,42,9.5 Earths,7.17,2009,Neptune-like,0.272 x Jupiter,0.1321 AU,20.4 days,0.07,HD 40307,Radial Velocity,,05h54m04.24s,-60d01m24.5s
816,816,HD 40307 f,42,5.2 Earths,7.17,2013,Neptune-like,2.13 x Earth,0.247 AU,51.8 days,0.02,HD 40307,Radial Velocity,,05h54m04.24s,-60d01m24.5s
817,817,HD 40307 g,42,7.1 Earths,7.17,2013,Neptune-like,0.229 x Jupiter,0.6 AU,197.8 days,0.29,HD 40307,Radial Velocity,,05h54m04.24s,-60d01m24.5s
827,827,HD 42618 b,79,14.4 Earths,6.839,2016,Neptune-like,0.347 x Jupiter,0.554 AU,149.6 days,0.19,HD 42618,Radial Velocity,,06h12m00.57s,+06d46m59.1s
828,828,HD 4308 b,72,15.8915 Earths,6.56,2005,Neptune-like,0.368 x Jupiter,0.12 AU,15.6 days,0,HD 4308,Radial Velocity,,00h44m39.27s,-65d38m58.3s
833,833,HD 45184 b,71,12.19 Earths,6.37,2019,Neptune-like,0.314 x Jupiter,0.0644 AU,5.9 days,0.07,HD 45184,Radial Velocity,,06h24m43.88s,-28d46m48.4s
834,834,HD 45184 c,71,8.81 Earths,6.37,2019,Neptune-like,0.26 x Jupiter,0.11 AU,13.1 days,0.07,HD 45184,Radial Velocity,,06h24m43.88s,-28d46m48.4s
839,839,HD 46375 b,96,0.226 Jupiters,7.912,2000,Gas Giant,0.894 x Jupiter,0.0398 AU,3 days,0.06,HD 46375,Radial Velocity,,06h33m12.62s,+05d27m46.5s
855,855,HD 52265 b,98,1.21 Jupiters,6.3,2000,Gas Giant,1.22 x Jupiter,0.52 AU,119.3 days,0.27,HD 52265,Radial Velocity,,07h00m18.04s,-05d22m01.8s
864,864,HD 60532 b,85,1.06 Jupiters,4.44,2008,Gas Giant,1.23 x Jupiter,0.77 AU,201.9 days,0.26,HD 60532,Radial Velocity,,07h34m03.18s,-22d17m45.8s
865,865,HD 60532 c,85,2.51 Jupiters,4.44,2008,Gas Giant,1.18 x Jupiter,1.6 AU,1.6 years,0.03,HD 60532,Radial Velocity,,07h34m03.18s,-22d17m45.8s
866,866,HD 62509 b,34,2.3 Jupiters,1.14,2006,Gas Giant,1.19 x Jupiter,1.64 AU,1.6 years,0.02,HD 62509,Radial Velocity,,07h45m18.95s,+28d01m34.3s
867,867,HD 63433 b,73,5.27 Earths,6.9,2020,Neptune-like,2.15 x Earth,0.0719 AU,7.1 days,0,HD 63433,Transit,89.38,07h49m55.06s,+27d21m47.5s
868,868,HD 63433 c,73,7.61 Earths,6.9,2020,Neptune-like,0.238 x Jupiter,0.1458 AU,20.5 days,0,HD 63433,Transit,89.147,07h49m55.06s,+27d21m47.5s
882,882,HD 69830 b,41,10.2 Earths,6,2006,Neptune-like,0.283 x Jupiter,0.0785 AU,8.7 days,0.1,HD 69830,Radial Velocity,,08h18m23.95s,-12d37m55.8s
